AIN,PropertyUseCode,GeneralUseType,SpecificUseType,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HouseNo,StreetName,City,ZIPcode5,CENTER_LAT,CENTER_LON
4434005004,200,Residential,"Double, Duplex, or Two Units",1924,1955,2419,4,3,20140625,"$633,746.00",2014,"$105,624.00",2014,"$739,370.00",20700,MULHOLLAND DR,LOS ANGELES CA,91364,34.13701052,-118.5841848
2040031023,300,Residential,Three Units (Any Combination),1955,1955,2178,3,3,20160509,"$499,800.00",2016,"$331,500.00",2016,"$831,300.00",22757,DEL VALLE ST,LOS ANGELES CA,91364,34.16558746,-118.6222461
2040031024,300,Residential,Three Units (Any Combination),1953,1953,2070,4,3,20140131,"$345,391.00",2014,"$230,259.00",2014,"$575,650.00",22751,DEL VALLE ST,LOS ANGELES CA,91364,34.1656362,-118.6220916
2040031027,100,Residential,Single Family Residence,1952,1952,1686,2,2,20120822,"$21,097.00",1975,"$29,554.00",1975,"$50,651.00",22735,DEL VALLE ST,LOS ANGELES CA,91364,34.16578241,-118.621628
2040031029,300,Residential,Three Units (Any Combination),1955,1955,1860,3,3,20160414,"$593,097.00",2016,"$50,457.00",2016,"$643,554.00",22729,DEL VALLE ST,LOS ANGELES CA,91364,34.16587989,-118.6213189
2040031030,300,Residential,Three Units (Any Combination),1955,1955,1869,3,3,20160414,"$593,097.00",2016,"$50,457.00",2016,"$643,554.00",22727,DEL VALLE ST,LOS ANGELES CA,91364,34.16592862,-118.6211644
2040032023,200,Residential,"Double, Duplex, or Two Units",1955,1955,1596,4,2,19970214,"$168,393.00",1997,"$70,157.00",1997,"$238,550.00",22635,DEL VALLE ST,LOS ANGELES CA,91364,34.16641461,-118.6196232
2040032024,300,Residential,Three Units (Any Combination),1953,1953,1844,4,3,19960227,"$143,132.00",1996,"$53,666.00",1996,"$196,798.00",22629,DEL VALLE ST,LOS ANGELES CA,91364,34.16646335,-118.6194687
2040033026,300,Residential,Three Units (Any Combination),1957,1957,2178,3,3,20120309,"$346,322.00",2012,"$146,103.00",2012,"$492,425.00",22525,DEL VALLE ST,LOS ANGELES CA,91364,34.16704768,-118.617614
2040033033,300,Residential,Three Units (Any Combination),1955,1955,1869,4,3,20120203,"$335,499.00",2012,"$119,047.00",2012,"$454,546.00",22431,DEL VALLE ST,LOS ANGELES CA,91364,34.16738928,-118.6165252
